Section,Folder,DD Ref,Topic,Request,Plain English (per Claude),Group Owner,Owner,DD Point of Contact,Intercom Priority,Diamond Priority,Status,LOE,Req. DG Review,GDrive Folder,GDrive Link,Template Required,Company Comments,Diamond Comments,Claude Audit Report,Output Type,Date Requested,Date Provided,Dependency,Owner Notes
1,Capital Structure,1.1,Capital Structure,"Provide current organizational documents of the Company (including subsidiaries, affiliates and joint ventures) (the “Company”).","Share Intercom's incorporation documents, bylaws, and equivalent docs for all subsidiaries.",Legal,Brandon Kim,Brandon K,Required,P00 — Critical (cross-functional priority),2. In Progress,Available Today,,(Confidential) 1. Integra_Capital Structure_Capital Structure,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
1,Capital Structure,1.2,Capital Structure,"Provide an organizational chart of the Company setting forth: 
 (i) ownership interests, 
 (ii) jurisdictions of formation and physical locations, 
 (iii) classification for U.S. federal income tax purposes and 
 (iv) current directors and officers.",Provide a chart showing how all Intercom legal entities relate to each other with ownership percentages.,Legal,Brandon Kim,Brandon K,,P00 — Critical (cross-functional priority),2. In Progress,Available Today,,(Confidential) 1. Integra_Capital Structure_Capital Structure,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
1,Capital Structure,1.3,Capital Structure,"Provide a capitalization table of the Company showing: 
 (i) All authorized and outstanding equity (including SAFEs), including (a) name, (b) address, (c) amount of equity held, (d) class/series of equity, (e) date of issuance, (f) consideration received and (g) certificate number (if certificated). Indicate whether any outstanding equity is subject to repurchase rights. 
 (ii) For all outstanding equity awards or other rights to acquire equity (including restricted stock, options, RSUs, phantom stock, convertible debt and warrants), including (a) name, (b) address, (c) amounts issued or granted, (d) date of grant or issuance, (e) grant type (ISO or NSO), (e) exercise or conversion price, (f) expiration dates, (g) vesting schedule (including vested and unvested as of current date), (h) vesting commencement date, (i) plan under which such issuance or grant occurred, (j) holder’s relationship to Company, (k) tax ID or tax status, (l) whether such equity provides for single or double trigger accelerations, and (m) any other relevant terms of such awards or rights. Note: Indicate whether restricted stock is by virtue of early exercise of options or grant of restricted stock and provide copies of any Section 83(b) elections that have been made.
 (iii) A summary of all equity awards or other rights to acquire equity, including those that have been authorized but not issued, canceled, exercised or repurchased.","Provide the full cap table — all shareholders, share classes, options/warrants, diluted ownership.",Legal,Brandon Kim,Brandon K,,P00 — Critical (cross-functional priority),2. In Progress,,true,(Confidential) 1. Integra_Capital Structure_Capital Structure,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
1,Capital Structure,1.4,Capital Structure,"Documents relating to ownership and control of the Company and its equity, including without limitation: 
 (i) agreements that include stockholder rights, voting trusts, registration rights, rights of first refusal, voting agreements, transfer restrictions, put/call agreements, and equity purchase rights;
 (ii) stock purchase agreements; 
 (iii) equity incentive or other long-term compensation plans; 
 (iv) equity award agreements (including those that are not governed by an equity incentive plan);
 (v) promises of ungranted equity awards (e.g. set forth in offer letters);
 (vi) stock redemption agreements;
 (vii) agreements effectuating any secondary transfers of stock; and
 (viii) convertible debt or similar instruments.","Provide documents relating to ownership and control of the Company and its equity, including without limitation:",Legal,Brandon Kim,Brandon K,,P00 — Critical (cross-functional priority),2. In Progress,,,(Confidential) 1. Integra_Capital Structure_Capital Structure,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
1,Capital Structure,1.5,Capital Structure,"Provide copies of minutes and resolutions of the board of directors and stockholders for 
 (i) the last five years, 
 (ii) approving the current director and officer slate, and 
 (iii) approving all equity issuances.",Share copies of minutes and resolutions of the board of directors and stockholders for,Legal,Brandon Kim,Brandon K,,P0 — High,2. In Progress,Limited Effort (Low Complexity),,(Confidential) 1. Integra_Capital Structure_Capital Structure,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
1,Capital Structure,1.6,Capital Structure,"Provide documentation for all indebtedness (including loan and debt agreements, capital leases and lines of credit) and any other debt, equity or other financing, including sources and uses for each.","Provide all loan agreements, credit facilities, convertible notes, and financing documents.",Legal,Brandon Kim,Brandon K,Required,P00 — Critical (cross-functional priority),2. In Progress,Limited Effort (Low Complexity),true,(Confidential) 1. Integra_Capital Structure_Capital Structure,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
1,Capital Structure,1.7,Capital Structure,Provide documentation granting a security interest in assets (including IP) or securities of the Company.,Provide documentation granting a security interest in assets (including IP) or securities of the Company,Legal,Brandon Kim,Brandon K,,P0 — High,2. In Progress,Limited Effort (Low Complexity),,(Confidential) 1. Integra_Capital Structure_Capital Structure,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
1,Capital Structure,1.8,Capital Structure,"Provide a list of all states and foreign countries where the Company 
 (i) owns or leases real property or substantial personal property, 
 (ii) has employees, 
 (iii) has operations (including servers), 
 (iv) is required to hold permits, or 
 (iv) is registered / qualified to do business. 
 For each location, indicate the principal business activity.",List a list of all states and foreign countries where the Company,Legal,Brandon Kim,Brandon K,,P0 — High,2. In Progress,Limited Effort (Low Complexity),,(Confidential) 1. Integra_Capital Structure_Capital Structure,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
1,Capital Structure,1.9,Capital Structure,"Provide copies of all Beneficial Ownership Information Reports (BOIRs) filed with the US Department of Treasury’s Financial Crimes Enforcement Network (FinCEN), if applicable.",Share copies of all Beneficial Ownership Information Reports (BOIRs) filed with the US Department of Treasury’s Financial Crimes Enforcement Network...,Accounting : General,Anne Pierce,Brandon K,,P0 — High,1. Not Started,,,(Confidential) 1. Integra_Capital Structure_Capital Structure,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
2,Main,2.1,Legal - Material Agreements,"Provide copies of standard forms / templates used in negotiations with customers, partners (OEM, VAR, ISV, reseller, referral, etc.), vendors or suppliers.","Share copies of standard forms / templates used in negotiations with customers, partners (OEM, VAR, ISV, reseller, referral, etc",Legal,Michele Matsubara,Brandon K,,P0 — High,1. Not Started,,,(Confidential) 2. Integra_Main_Legal - Material Agreements,,,,,,,Wed Apr 29 2026 17:00:00 GMT-0700 (Pacific Daylight Time),,,
